method,sweep,config,drift_type,seed,n_detections,n_false_alarms,false_alarms_per_year,budget_met,detection_delay,missed_detections,accepted
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",gradual,5,62,61,53.436,False,234.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",recurring,1,62,60,52.559999999999995,False,27.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",recurring,2,62,60,52.559999999999995,False,57.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",recurring,3,62,60,52.559999999999995,False,30.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",recurring,4,61,59,51.684,False,180.5,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 35, 'seed': 42}",recurring,5,62,60,52.559999999999995,False,238.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,1,32,32,28.032,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,2,30,30,26.279999999999998,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,3,27,27,23.651999999999997,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,4,28,28,24.528,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",none,5,28,28,24.528,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,1,33,32,28.032,False,110.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,2,28,27,23.651999999999997,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,3,30,29,25.404,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,4,32,31,27.156,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",sudden,5,35,34,29.784,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,1,33,32,28.032,False,167.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,2,30,29,25.404,False,173.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,3,32,31,27.156,False,168.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,4,33,32,28.032,False,123.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",gradual,5,34,33,28.907999999999998,False,79.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,1,32,30,26.279999999999998,False,109.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,2,31,30,26.279999999999998,False,80.0,1,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,3,29,28,24.528,False,17.0,1,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,4,28,26,22.776,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 40, 'seed': 42}",recurring,5,32,30,26.279999999999998,False,62.5,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",none,1,18,18,15.767999999999999,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",none,2,21,21,18.396,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",none,3,25,25,21.9,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",none,4,27,27,23.651999999999997,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",none,5,22,22,19.272,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",sudden,1,18,17,14.892,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",sudden,2,25,24,21.023999999999997,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",sudden,3,25,25,21.9,False,,1,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",sudden,4,28,27,23.651999999999997,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",sudden,5,13,12,10.511999999999999,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",gradual,1,23,22,19.272,False,166.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",gradual,2,20,19,16.644,False,75.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",gradual,3,23,22,19.272,False,359.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",gradual,4,28,27,23.651999999999997,False,117.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",gradual,5,19,18,15.767999999999999,False,220.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",recurring,1,17,15,13.139999999999999,False,178.5,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",recurring,2,23,21,18.396,False,49.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",recurring,3,21,19,16.644,False,177.5,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",recurring,4,29,27,23.651999999999997,False,40.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 42, 'seed': 42}",recurring,5,23,21,18.396,False,16.5,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",none,1,3,3,2.6279999999999997,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",none,2,5,5,4.38,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",none,3,7,7,6.132,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",none,4,3,3,2.6279999999999997,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",none,5,5,5,4.38,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",sudden,1,6,5,4.38,False,17.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",sudden,2,4,3,2.6279999999999997,False,15.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",sudden,3,6,5,4.38,False,16.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",sudden,4,4,3,2.6279999999999997,False,16.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",sudden,5,8,7,6.132,False,16.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",gradual,1,6,5,4.38,False,215.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",gradual,2,6,5,4.38,False,264.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",gradual,3,7,6,5.255999999999999,False,507.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",gradual,4,5,4,3.504,False,83.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",gradual,5,5,4,3.504,False,262.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",recurring,1,5,3,2.6279999999999997,False,18.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",recurring,2,7,6,5.255999999999999,False,1.0,1,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",recurring,3,7,5,4.38,False,17.5,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",recurring,4,4,2,1.752,True,16.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 44, 'seed': 42}",recurring,5,7,5,4.38,False,15.5,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",none,1,2,2,1.752,True,,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",none,2,8,8,7.008,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",none,3,6,6,5.255999999999999,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",none,4,4,4,3.504,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",none,5,2,2,1.752,True,,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",sudden,1,8,7,6.132,False,16.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",sudden,2,6,5,4.38,False,17.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",sudden,3,3,2,1.752,True,16.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",sudden,4,4,3,2.6279999999999997,False,16.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",sudden,5,3,2,1.752,True,16.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",gradual,1,6,5,4.38,False,215.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",gradual,2,5,4,3.504,False,358.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",gradual,3,7,6,5.255999999999999,False,213.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",gradual,4,3,2,1.752,True,172.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",gradual,5,10,9,7.8839999999999995,False,228.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",recurring,1,4,2,1.752,True,18.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",recurring,2,6,4,3.504,False,65.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",recurring,3,3,1,0.876,True,14.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",recurring,4,4,2,1.752,True,17.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 45, 'seed': 42}",recurring,5,6,4,3.504,False,10.5,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",none,1,0,0,0.0,True,,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",none,2,1,1,0.876,True,,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",none,3,1,1,0.876,True,,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",none,4,2,2,1.752,True,,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",none,5,3,3,2.6279999999999997,False,,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",sudden,1,3,2,1.752,True,16.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",sudden,2,3,2,1.752,True,16.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",sudden,3,2,1,0.876,True,16.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",sudden,4,4,3,2.6279999999999997,False,16.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",sudden,5,1,0,0.0,True,16.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",gradual,1,5,4,3.504,False,78.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",gradual,2,5,4,3.504,False,167.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",gradual,3,3,2,1.752,True,524.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",gradual,4,3,2,1.752,True,79.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",gradual,5,4,3,2.6279999999999997,False,171.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",recurring,1,3,1,0.876,True,103.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",recurring,2,5,3,2.6279999999999997,False,10.0,0,False
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",recurring,3,3,1,0.876,True,15.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",recurring,4,4,2,1.752,True,19.0,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 46, 'seed': 42}",recurring,5,3,1,0.876,True,14.5,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 47, 'seed': 42}",none,1,1,1,0.876,True,,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 47, 'seed': 42}",none,2,0,0,0.0,True,,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 47, 'seed': 42}",none,3,1,1,0.876,True,,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 47, 'seed': 42}",none,4,1,1,0.876,True,,0,True
kswin,kswin_budget_stat_size,"{'alpha': 0.005, 'window_size': 300, 'stat_size': 47, 'seed': 42}",none,5,2,2,1.752,True,,0,True
